example input data to run RothC for a number of years
clay and depth are only needed once, other data are monthly jan-dec 
 (%)     (cm)  (t C/ha)      (-)
clay	depth	    iom   nsteps
18.0	30.0	 3.0041      0
(-)    (-)       (%)    (C)     (mm)    (mm)  (t C/ha) (t C/ha) (-)      (-) 
year  month    modern	Tmp	Rain	Evap   C_inp	FYM	PC    DPM_RPM
1	1	100	27.7	5.0	193.33	0	0	0	1.44
1	2	100	30.3	10.9	200.00	0	0	0	1.44
1	3	100	31.8	20.9	230.67	0	0	0	1.44
1	4	100	30.9	86.4	225.33	0	0	0	1.44
1	5	100	29.3	130.1	220.00	0	0	1	1.44
1	6	100	27.6	141.8	192.00	0	0	1	1.44
1	7	100	26.6	139.7	176.00	0	0	1	1.44
1	8	100	26.0	241.0	164.00	0	0	1	1.44
1	9	100	26.4	198.1	162.67	0	0	1	1.44
1	10	100	28.0	82.9	190.67	0.124	0	1	1.44
1	11	100	28.8	5.2	192.00	0	0	0	1.44
1	12	100	27.8	0.3	192.00	0	0	0	1.44
2024	1	100	27.4	0	193.33	0	0	0	1.44
2024	2	100	30.1	1.24	200.00	0	0	0	1.44
2024	3	100	33.1	21.28	230.67	0	0	0	1.44
2024	4	100	32.7	37.03	225.33	0	0	0	1.44
2024	5	100	31.3	74.34	220.00	0	0	1	1.44
2024	6	100	28.9	139.01	192.00	0	0	1	1.44
2024	7	100	27.0	102.64	176.00	0	0	1	1.44
2024	8	100	26.3	248.56	164.00	0	0	1	1.44
2024	9	100	26.7	162.97	162.67	0	0	1	1.44
2024	10	100	27.6	114.00	190.67	0.124	0	1	1.44
2024	11	100	27.1	0.02	192.00	0	0	0	1.44
2024	12	100	26.0	0.72	192.00	0	0	0	1.44
2025	1	100	27.7	5.0	193.33	0	0	0	1.44
2025	2	100	30.3	10.9	200.00	0	0	0	1.44
2025	3	100	31.8	20.9	230.67	0	0	0	1.44
2025	4	100	30.9	86.4	225.33	0	0	0	1.44
2025	5	100	29.3	130.1	220.00	0	0	1	1.44
2025	6	100	27.6	141.8	192.00	0	0	1	1.44
2025	7	100	26.6	139.7	176.00	0	0	1	1.44
2025	8	100	26.0	241.0	164.00	0	0	1	1.44
2025	9	100	26.4	198.1	162.67	0	0	1	1.44
2025	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2025	11	100	28.8	5.2	192.00	0	0	0	1.44
2025	12	100	27.8	0.3	192.00	0	0	0	1.44
2026	1	100	27.7	5.0	193.33	0	0	0	1.44
2026	2	100	30.3	10.9	200.00	0	0	0	1.44
2026	3	100	31.8	20.9	230.67	0	0	0	1.44
2026	4	100	30.9	86.4	225.33	0	0	0	1.44
2026	5	100	29.3	130.1	220.00	0	0	1	1.44
2026	6	100	27.6	141.8	192.00	0	0	1	1.44
2026	7	100	26.6	139.7	176.00	0	0	1	1.44
2026	8	100	26.0	241.0	164.00	0	0	1	1.44
2026	9	100	26.4	198.1	162.67	0	0	1	1.44
2026	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2026	11	100	28.8	5.2	192.00	0	0	0	1.44
2026	12	100	27.8	0.3	192.00	0	0	0	1.44
2027	1	100	27.7	5.0	193.33	0	0	0	1.44
2027	2	100	30.3	10.9	200.00	0	0	0	1.44
2027	3	100	31.8	20.9	230.67	0	0	0	1.44
2027	4	100	30.9	86.4	225.33	0	0	0	1.44
2027	5	100	29.3	130.1	220.00	0	0	1	1.44
2027	6	100	27.6	141.8	192.00	0	0	1	1.44
2027	7	100	26.6	139.7	176.00	0	0	1	1.44
2027	8	100	26.0	241.0	164.00	0	0	1	1.44
2027	9	100	26.4	198.1	162.67	0	0	1	1.44
2027	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2027	11	100	28.8	5.2	192.00	0	0	0	1.44
2027	12	100	27.8	0.3	192.00	0	0	0	1.44
2028	1	100	27.7	5.0	193.33	0	0	0	1.44
2028	2	100	30.3	10.9	200.00	0	0	0	1.44
2028	3	100	31.8	20.9	230.67	0	0	0	1.44
2028	4	100	30.9	86.4	225.33	0	0	0	1.44
2028	5	100	29.3	130.1	220.00	0	0	1	1.44
2028	6	100	27.6	141.8	192.00	0	0	1	1.44
2028	7	100	26.6	139.7	176.00	0	0	1	1.44
2028	8	100	26.0	241.0	164.00	0	0	1	1.44
2028	9	100	26.4	198.1	162.67	0	0	1	1.44
2028	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2028	11	100	28.8	5.2	192.00	0	0	0	1.44
2028	12	100	27.8	0.3	192.00	0	0	0	1.44
2029	1	100	27.7	5.0	193.33	0	0	0	1.44
2029	2	100	30.3	10.9	200.00	0	0	0	1.44
2029	3	100	31.8	20.9	230.67	0	0	0	1.44
2029	4	100	30.9	86.4	225.33	0	0	0	1.44
2029	5	100	29.3	130.1	220.00	0	0	1	1.44
2029	6	100	27.6	141.8	192.00	0	0	1	1.44
2029	7	100	26.6	139.7	176.00	0	0	1	1.44
2029	8	100	26.0	241.0	164.00	0	0	1	1.44
2029	9	100	26.4	198.1	162.67	0	0	1	1.44
2029	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2029	11	100	28.8	5.2	192.00	0	0	0	1.44
2029	12	100	27.8	0.3	192.00	0	0	0	1.44
2030	1	100	27.7	5.0	193.33	0	0	0	1.44
2030	2	100	30.3	10.9	200.00	0	0	0	1.44
2030	3	100	31.8	20.9	230.67	0	0	0	1.44
2030	4	100	30.9	86.4	225.33	0	0	0	1.44
2030	5	100	29.3	130.1	220.00	0	0	1	1.44
2030	6	100	27.6	141.8	192.00	0	0	1	1.44
